id,type,name,location,state
61,Jungle Ecological Park,Batu Maloi Forest Eco Park,"WGS 84 : N2.5375° , E102.2231°",Negeri Sembilan
62,Jungle Ecological Park,"Gunung Tampin Forest Eco Park
","WGS 84 : N2.3022° , E102.1298°",Negeri Sembilan
63,Jungle Ecological Park,"Lata Kijang Forest Eco Park
","WGS 84 : N2.9721° , E102.3673°",Negeri Sembilan
64,Jungle Ecological Park,"Serting Ulu Forest Eco Park
","WGS 84 : N2.8596° , E102.0131°",Negeri Sembilan
65,Jungle Ecological Park,"De Bana Forest Eco Park

","WGS 84 : N2.9721° , E102.3673°",Negeri Sembilan
66,Jungle Ecological Park,"Jeram Tengkek Forest Eco Park
","WGS 84 : N2.8687° , E102.1842°",Negeri Sembilan
67,Jungle Ecological Park,"Lenggeng Forest Eco Park
","WGS 84 : N2.5438° , E 102.1710°",Negeri Sembilan
68,Jungle Ecological Park,"Ulu Bendul Forest Eco Park
","WGS 84 : N2.7304° , E102.0806°",Negeri Sembilan
69,Jungle Ecological Park,"Gunung Datuk Forest Eco Park
","WGS 84 : N2.5438° , E102.1710°",Negeri Sembilan
70,Jungle Ecological Park,"Bukit Batu Lebah Forest Eco Park
","WGS 84: N2. 3987° , E102.4286°",Melaka
71,Jungle Ecological Park,"Sungai Udang Forest Eco Park
","WGS 84 : N2.3022° , E102.1298°",Melaka
72,Jungle Ecological Park,"Gunung Arong Forest Eco Park
","WGS 84 : N2.5529° , E103.7549°",Johor
73,Jungle Ecological Park,"Gunung Belumut Forest Eco Park
","WGS 84 : N2.0666° , E103.5255°",Johor
74,Jungle Ecological Park,"Gunung Pulai II Forest Eco Park
","WGS 84 : N1.590507° , E103.518500°",Johor
75,Jungle Ecological Park,"Gunung Pulai II Forest Eco Park
","WGS 84 : N1.5722° , E103.5130°",Johor
76,Jungle Ecological Park,"Panti Forest Eco Park
","WGS 84 : N1.7882° , E103.9424°",Johor
77,Jungle Ecological Park,"Sungai Bantang Forest Eco Park
","WGS 84 : N2.3463° , E103.1572°",Johor
78,National Forest Park,Bukit Panchor State Park,"WGS 84 : N5.1602° , E 100.5480°",Pulau Pinang
79,National Forest Park,"Gunung Stong State Forest Park
","WGS 84 : N5.3396° , E101.9749°",Kelantan
80,National Forest Park,Perlis State Park,"WGS 84 : N6.6970° , E 100.1901°",Perlis
81,National Forest Park,"Rompin State Park
","WGS 84 : N2.8832° , E102.9984°",Pahang
